id,num_id,name,price,created_at,updated_at
69,10,황태(떡)만두국,"6,000원",2017-10-18 06:55:31.897590,2017-10-18 06:55:31.897590
70,10,바지락칼국수,"6,000원",2017-10-18 06:55:44.728477,2017-10-18 06:55:44.728477
71,11,카레돈가스(S),"6,900원",2017-10-18 06:58:15.836876,2017-10-18 06:58:15.836876
72,11,카레돈가스(L),"7,900원",2017-10-18 06:58:28.218459,2017-10-18 06:58:28.218459
73,11,유연 카레라이스,"6,000원",2017-10-18 06:58:39.810600,2017-10-18 06:58:39.810600
74,11,비프 카레라이스 ,"7,900원",2017-10-18 06:58:55.529092,2017-10-18 06:58:55.529092
75,12,알밥,"7,000원",2017-10-18 07:03:04.986019,2017-10-18 07:03:04.986019
76,12,회덮밥,"8,000원",2017-10-18 07:03:16.122735,2017-10-18 07:03:16.122735
77,12,특회덮밥,"10,000원",2017-10-18 07:03:29.408885,2017-10-18 07:03:29.408885
78,12,알탕,"8,000원",2017-10-18 07:03:41.457399,2017-10-18 07:03:41.457399
79,12,대구탕,"8,000원",2017-10-18 07:03:50.164644,2017-10-18 07:03:50.164644
80,12,조기매운탕,"8,000원",2017-10-18 07:04:03.249830,2017-10-18 07:04:03.249830
81,12,농어탕,"9,000원",2017-10-18 07:04:29.802592,2017-10-18 07:04:29.802592
82,12,우럭탕,"9,000원",2017-10-18 07:04:41.056900,2017-10-18 07:04:41.056900
83,12,고등어구이,"10,000원",2017-10-18 07:04:51.514698,2017-10-18 07:04:51.514698
84,13,쌀고집 차돌 초밥,"16,000원",2017-10-18 07:10:58.195153,2017-10-18 07:10:58.195153
85,13,삼겹살 숯불 스테이크 한상,"13,000원",2017-10-18 07:11:08.376306,2017-10-18 07:11:08.376306
86,13,와규 숯불 불고기 한상,"13,000원",2017-10-18 07:11:18.173883,2017-10-18 07:11:18.173883
87,13,차돌된장찌개 한상,"14,000원",2017-10-18 07:11:33.241341,2017-10-18 07:11:33.241341
88,14,돈코츠라멘,"7,000원",2017-10-18 07:13:33.098688,2017-10-18 07:13:33.098688
89,14,소유라멘,"7,000원",2017-10-18 07:15:10.011059,2017-10-18 07:15:10.011059
90,14,시오버터라멘,"8,000원",2017-10-18 07:15:20.794345,2017-10-18 07:15:20.794345
91,14,카츠동,"7,000원",2017-10-18 07:17:40.303088,2017-10-18 07:17:40.303088
92,14,차슈동,"7,000원",2017-10-18 07:17:49.344552,2017-10-18 07:17:49.344552
93,14,돈카츠카레,"8,000원",2017-10-18 07:17:57.686187,2017-10-18 07:17:57.686187
94,15,숯불구이정식(2인이상),"10,000",2017-10-18 07:21:01.071474,2017-10-18 07:21:01.071474
95,15,고추장 숯불정식(2인이상),"10,000원",2017-10-18 07:21:16.785310,2017-10-18 07:21:16.785310
96,15,흑돼지김치전골(2인이상),"8,000원",2017-10-18 07:21:28.128881,2017-10-18 07:21:28.128881
97,15,뚝배기불고기,"8,000원",2017-10-18 07:21:38.824838,2017-10-18 07:21:38.824838
98,15,코다리찜,"8,000원",2017-10-18 07:21:49.599333,2017-10-18 07:21:49.599333
99,15,육회비빔밥,"10,000원",2017-10-18 07:22:00.801876,2017-10-18 07:22:00.801876
100,15,강된장 열무비빔밥,"7,000원",2017-10-18 07:22:14.454823,2017-10-18 07:22:14.454823
101,16,닭갈비 1인분,"12,500원",2017-10-18 07:25:26.901546,2017-10-18 07:25:26.901546
102,16,막국수,"7,000원",2017-10-18 07:25:34.852299,2017-10-18 07:25:34.852299
103,16,전통닭개장,"7,000원",2017-10-18 07:25:46.623652,2017-10-18 07:25:46.623652
104,16,닭갈비정식,7000원 (11:30~03:00),2017-10-18 07:26:09.039252,2017-10-18 07:26:09.039252
